name,majorType,minorType,platform,lead,team,host,cluster
VM79,Type3,Minor4,Platform1,Lead1,Team3,Host1,Cluster4
VM80,Type4,Minor5,Platform2,Lead2,Team4,Host2,Cluster5
VM81,Type1,Minor1,Platform3,Lead3,Team1,Host3,Cluster1
VM82,Type2,Minor2,Platform1,Lead1,Team2,Host4,Cluster2
VM83,Type3,Minor3,Platform2,Lead2,Team3,Host5,Cluster3
VM84,Type4,Minor4,Platform3,Lead3,Team4,Host6,Cluster4
VM85,Type1,Minor5,Platform1,Lead1,Team1,Host1,Cluster5
VM86,Type2,Minor1,Platform2,Lead2,Team2,Host2,Cluster1
VM87,Type3,Minor2,Platform3,Lead3,Team3,Host3,Cluster2
VM88,Type4,Minor3,Platform1,Lead1,Team4,Host4,Cluster3
VM89,Type1,Minor4,Platform2,Lead2,Team1,Host5,Cluster4
VM90,Type2,Minor5,Platform3,Lead3,Team2,Host6,Cluster5
VM91,Type3,Minor1,Platform1,Lead1,Team3,Host1,Cluster1
VM92,Type4,Minor2,Platform2,Lead2,Team4,Host2,Cluster2
VM93,Type1,Minor3,Platform3,Lead3,Team1,Host3,Cluster3
VM94,Type2,Minor4,Platform1,Lead1,Team2,Host4,Cluster4
VM95,Type3,Minor5,Platform2,Lead2,Team3,Host5,Cluster5
VM96,Type4,Minor1,Platform3,Lead3,Team4,Host6,Cluster1
VM97,Type1,Minor2,Platform1,Lead1,Team1,Host1,Cluster2
VM98,Type2,Minor3,Platform2,Lead2,Team2,Host2,Cluster3
VM99,Type3,Minor4,Platform3,Lead3,Team3,Host3,Cluster4
VM100,Type4,Minor5,Platform1,Lead1,Team4,Host4,Cluster5
